denominacao_setor_mapa,tipo_risco
S1R3,Deslizamento
S2R3,Deslizamento
S3R3,Deslizamento
S4R3,Deslizamento
S5R3,Deslizamento
S6R3,Deslizamento
S7R3,Deslizamento
S8R3,Deslizamento
S9R3,Deslizamento
S10R2,Deslizamento
S11R3,Deslizamento
S12R3,Deslizamento
S13R4,Deslizamento
S14R3,Deslizamento
S15R3,Deslizamento
S16R3,Deslizamento
S17R3,Deslizamento
S18R3,Deslizamento
S19R2,Deslizamento
S20R3,Deslizamento
S21R2,Deslizamento
S22R3,Deslizamento
S23R3,Deslizamento
S24R3,Deslizamento
S25R3,Deslizamento
S26R2,Deslizamento
S27R3,Deslizamento
S28R2,Deslizamento
S29R3,Deslizamento
S30R3,Deslizamento
S31R3,Deslizamento
S32R2,Deslizamento
S33R3,Deslizamento
S34R2,Deslizamento
S35R4,Deslizamento
S36R4,Deslizamento
S37R3,Deslizamento
S38R3,Deslizamento
S39R3,Deslizamento
S40R3,Deslizamento
S41R3,Deslizamento
S42R2,Deslizamento
S43R3,Deslizamento
S44R4,Deslizamento
S45R3,Deslizamento
S46R3,Deslizamento
S47R3,Deslizamento
S48R3,Deslizamento
S49R3,Deslizamento
S50R2,Deslizamento
S51R3,Deslizamento
S52R3,Deslizamento
S53R3,Deslizamento
S54R4,Deslizamento
S55R4,Deslizamento
S56R4,Deslizamento
S57R3,Deslizamento
S58R3,Deslizamento
S59R3,Deslizamento
S60R3,Deslizamento
S61R3,Deslizamento
S62R3,Deslizamento
S63R2,Deslizamento
S64R4,Deslizamento
S65R3,Deslizamento
S66R3,Deslizamento
S67R3,Deslizamento
S69R3,Deslizamento
S68R3,Deslizamento
S70R2,Deslizamento
S71R3,Deslizamento
S72R3,Deslizamento
S73R3,Deslizamento
S74R2,Deslizamento
S75R3,Deslizamento
S76R3,Deslizamento
S77R3,Deslizamento
S78R2,Deslizamento
S79R3,Deslizamento
S80R3,Deslizamento
S81R3,Deslizamento
S82R4,Deslizamento
